template_name,day_number,day_name,exercise_name,exercise_order,sets,reps,rest_seconds,category,exercise_id
3 Day Full Body Beginner,1,Full Body A,Belt Squat,1,3,8-12,150,compound,4cd57561-373d-4610-9641-b0dd2184e0f2
3 Day Full Body Beginner,1,Full Body A,Bench Press (Flat),2,3,8-12,150,compound,3b2438bf-eca7-4445-be14-c409f5a9eec5
3 Day Full Body Beginner,1,Full Body A,T-Bar Row,3,3,8-12,150,compound,181c4d4e-1902-462a-8c05-5bff33554765
3 Day Full Body Beginner,1,Full Body A,Leg Press,4,3,8-12,150,compound,ffea652a-37ce-44ca-aec1-797890f26d54
3 Day Full Body Beginner,1,Full Body A,Lat Pulldown (Wide Grip),5,3,8-12,150,compound,97b539a9-05a1-47f7-91ef-86566b1c4bcc
3 Day Full Body Beginner,1,Full Body A,Lying Leg Curl,6,3,8-12,90,isolation,bc091a8d-0c63-4c16-84be-edd100bfe8dd
3 Day Full Body Beginner,2,Full Body B,Deadlift,1,3,8-12,150,compound,a15d8beb-f7e9-4d83-8b5f-b7d60f9f9c97
3 Day Full Body Beginner,2,Full Body B,Machine Shoulder Press,2,3,8-12,150,compound,2a542d55-bf23-44c3-b93f-c1ff2c6464cc
3 Day Full Body Beginner,2,Full Body B,Assisted Pullup,3,3,8-12,150,compound,4ca59250-6d8e-4f75-87e1-8ad0d0cf0a25
3 Day Full Body Beginner,2,Full Body B,Reverse Lunge,4,3,8-12,90,isolation,b009f359-e4eb-4c07-b765-464875d0a945
3 Day Full Body Beginner,2,Full Body B,Leg Extension,5,3,8-12,90,isolation,3ac66e9a-7999-4851-a28f-79e39d47eb83
3 Day Full Body Beginner,2,Full Body B,Calf Raises,6,3,8-12,90,isolation,373ba96a-d33f-4367-b374-b95a491c1a5a
3 Day Full Body Beginner,3,Full Body C,Dumbbell Bench Wrist Curl,1,3,8-12,150,compound,8795ec80-8c63-473c-88ae-c4538c2f2cbd
3 Day Full Body Beginner,3,Full Body C,Barbell Hip Thrust,2,3,8-12,150,compound,cdfc95a2-3838-492a-ae81-d21ded82d396
3 Day Full Body Beginner,3,Full Body C,Machine Lateral Raise,3,3,8-12,90,isolation,5e209c4f-0860-451a-b153-072e5699a34f
3 Day Full Body Beginner,3,Full Body C,Cable Rope Facepull,4,3,8-12,90,isolation,a2fca44b-ca08-40e3-b7f2-2877e2febccd
3 Day Full Body Beginner,3,Full Body C,Cable Curl,5,3,8-12,90,isolation,6380c542-7190-4253-95cc-940599340097
3 Day Full Body Beginner,3,Full Body C,Cable Tricep Kickback,6,3,8-12,90,isolation,608f2772-a173-4a8c-a030-24297159578b
